Phi,Theta,E_deloc
15,190,-477663.86540786613
15,200,-477663.7399651147
15,210,-477663.4366852455
15,220,-477662.91443755466
15,230,-477662.2228932692
15,240,-477661.41595152195
15,250,-477660.66138682154
15,260,-477660.0518850079
15,270,-477659.77263139223
15,280,-477659.88493793295
15,290,-477660.3414713126
15,300,-477661.02518340707
15,310,-477661.77140110853
15,320,-477662.4857316261
15,330,-477663.0871749689
15,340,-477663.59049855743
15,350,-477663.92746743927
20,0,-477662.3394968661
20,10,-477662.23441891547
20,20,-477661.9507276816
20,30,-477661.5982638451
20,40,-477661.2056165293
20,50,-477660.7819525103
20,60,-477660.27651333803
20,70,-477659.7666974786
20,80,-477659.30764000677
20,90,-477659.0407507028
20,100,-477659.0510267901
20,110,-477659.35266666405
20,120,-477659.8943281657
20,130,-477660.5103890171
20,140,-477661.09629216226
20,150,-477661.52229710366
20,160,-477661.8322032168
20,170,-477662.0090459204
20,180,-477662.1249177792
20,190,-477662.14862042567
20,200,-477662.0371318427
20,210,-477661.7530354263
20,220,-477661.2479923376
20,230,-477660.5652905324
20,240,-477659.7572283679
