,Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
20,25,60,1.0332786191997911,-2755.3380700692996,-2755.3327707121,-2754.3047914501,0.00529935720010144,0.0010708613001497724,-2755.3338415733997,1.0290501232998395
39,30,60,1.0330708004998996,-2755.3329450305,-2755.3269968972,-2754.29987423,0.0059481333000803716,0.0010776323999834858,-2755.3280745295997,1.0282002995995754
205,40,60,1.032046142100171,-2755.3190960303,-2755.3115404376,-2754.2870498882,0.007555592699873159,0.0010064459002023796,-2755.3125468835,1.0254969953002728
240,50,60,1.0310246982003264,-2755.3009996985,-2755.2901381342,-2754.2699750003,0.01086156430005758,0.0008507877000738517,-2755.2909889219,1.0210139216001153
129,60,60,1.031052977199579,-2755.2791048427,-2755.261357811,-2754.2480518655,0.017747031700082516,0.0006254535001062322,-2755.2619832645,1.01393139899983
316,0,70,1.0332491266999568,-2755.3481110975,-2755.3452129013,-2754.3148619708,0.00289819620002163,0.00034384890000183077,-2755.3455567501996,1.0306947793997097
270,5,70,1.033673554500183,-2755.3482187353,-2755.3447566652,-2754.3145451808,0.0034620701001131238,0.00011793280009442242,-2755.344874598,1.0303294171999369
179,10,70,1.0340551715999027,-2755.3474276019,-2755.3433568789,-2754.3133724303,0.0040707230000407435,0.0,-2755.3433568789,1.029984448599862
337,15,70,1.03426487859997,-2755.3455906144,-2755.3409746525,-2754.3113257358,0.004615961900071852,8.647059985378291e-05,-2755.3410611230997,1.029735387299752
73,20,70,1.0343090032001783,-2755.3427080447,-2755.3375774343,-2754.3083990415,0.005130610399874058,0.0004883794999841484,-2755.3380658138,1.029666772300061
17,25,70,1.0341805401999409,-2755.3387635984,-2755.3331256578,-2754.3045830582,0.0056379406000814924,0.0011791718000040419,-2755.3343048296,1.0297217714000908
50,30,70,1.0338857533997725,-2755.3337247609998,-2755.3275460163,-2754.2998390076,0.006178744700036987,0.0020349549999991723,-2755.3295809713,1.029741963699962
207,40,70,1.0326797190000434,-2755.3201300563,-2755.3127039418,-2754.2874503373,0.007426114500049152,0.0028915484999743057,-2755.3155954903,1.0281451529999686
232,50,70,1.0314534198000729,-2755.3023931604002,-2755.2922458801,-2754.2709397406,0.010147280300088823,0.0036138501000095857,-2755.2958597302,1.0249199895997663
131,60,70,1.0313223128000573,-2755.2810894823,-2755.2648929806,-2754.2497671695,0.016196501700051158,0.0040707230000407435,-2755.2689637036,1.0191965341000468
321,0,80,1.034220079100578,-2755.3485186384005,-2755.3453295928,-2754.3142985593,0.0031890456000382983,0.004274161899957107,-2755.3496037547,1.0353051954002694
254,5,80,1.034611797999787,-2755.3486272614,-2755.3449096328,-2754.3140154634,0.003717628600043099,0.004253842299931421,-2755.3491634751,1.0351480116996754
165,10,80,1.034955047600306,-2755.3478391107,-2755.3435649488,-2754.3128840631,0.004274161899957107,0.004112858499865979,-2755.3476778073,1.0347937442002149
329,15,80,1.0351190232995577,-2755.3460060632997,-2755.341262269,-2754.31088704,0.00474379429988403,0.00393494540003303,-2755.3451972144,1.0343101743997067
90,20,80,1.0351107696001236,-2755.3431303455,-2755.3379813707,-2754.3080195759,0.005148974800022188,0.003790280100020027,-2755.3417716508,1.0337520749003488
8,25,80,1.0349298081996494,-2755.3392042395,-2755.3337028572,-2754.3042744313,0.005501382300053592,0.003694386500001201,-2755.3373972437003,1.0331228124000518
41,30,80,1.0345862255999236,-2755.3342004496,-2755.3283705401,-2754.299614224,0.005829909499880159,0.0036230767000233755,-2755.3319936168,1.0323793928000669
211,40,80,1.0332841817998997,-2755.3207174301,-2755.3142733257,-2754.2874332483,0.0064441044000886905,0.0035656551999636577,-2755.3178389809,1.0304057325997746
229,50,80,1.0319556108997858,-2755.3031218938,-2755.294946441,-2754.2711662829,0.008175452800060157,0.003472560299996985,-2755.2984190013,1.0272527183997227
122,60,80,1.0317344483000852,-2755.2819687255,-2755.2692017629,-2754.2502342772,0.012766962599926046,0.00335296789990025,-2755.2725547308,1.0223204536000594
313,0,90,1.0346522515997094,-2755.348694812,-2755.3453791535,-2754.3140425604,0.0033156585000142513,0.0031564298999455787,-2755.3485355834,1.0344930229998681
256,5,90,1.035037360300521,-2755.3487875292003,-2755.3450108885,-2754.3137501689,0.0037766407001527114,0.002889703899882079,-2755.3479005924,1.0341504235002503
167,10,90,1.0353751203001593,-2755.3479873134,-2755.3437334711,-2754.3126121931,0.004253842299931421,0.0025482821999958105,-2755.3462817533,1.0336695601999963
345,15,90,1.035537782100164,-2755.3461484823,-2755.3415278906,-2754.3106107002,0.004620591699904253,0.0021566010000242386,-2755.3436844916,1.0330737914000565
77,20,90,1.0355314601001737,-2755.3432717277,-2755.3383856977,-2754.3077402676,0.0048860300000797,0.0017606858998533426,-2755.3401463836,1.0324061159999474
30,25,90,1.0353496339002959,-2755.3393415656,-2755.3342888118,-2754.3039919317,0.005052753800100618,0.0014259104998473049,-2755.3357147222996,1.0317227905998152
61,30,90,1.034996350700112,-2755.3343231275003,-2755.3291825973,-2754.2993267768,0.005140530199923887,0.0012458216999675642,-2755.330428419,1.031101642199701
201,40,90,1.0336514654004532,-2755.3207761716003,-2755.3157210659,-2754.2871247062,0.005055105699966589,0.0012418415999491117,-2755.3169629075,1.0298382013002083
243,50,90,1.0322607664002135,-2755.3030392,-2755.2973631565,-2754.2707784336,0.00567604350021611,0.0014067206000163424,-2755.2987698771003,1.0279914435004684
112,60,90,1.031939307599714,-2755.2815447714997,-2755.2729587428,-2754.2496054639,0.008586028699937742,0.0016188810000130616,-2755.2745776238,1.0249721598997894
288,0,100,1.0344681348997256,-2755.3486706906997,-2755.3453729629,-2754.3142025558,0.0032977277999179933,0.001825468900051419,-2755.3471984318003,1.0329958760003137
266,5,100,1.034872746000019,-2755.3487393546,-2755.3450388576,-2754.3138666086,0.003700497000181713,0.001964299699920957,-2755.3470031572997,1.033136548699531
166,10,100,1.03523385590006,-2755.3479162279,-2755.3438033694,-2754.312682372,0.004112858499865979,0.0019888772999365756,-2755.3457922467,1.0331098747001306
357,15,100,1.0354226919998837,-2755.3460542867997,-2755.3416544477,-2754.3106315948,0.004399839099960445,0.0018579262000457675,-2755.3435123739,1.0328807791001964
97,20,100,1.0354423080998458,-2755.3431497362,-2755.3385874946,-2754.3077074281,0.004562241600069683,0.0015636811999684141,-2755.3401511757997,1.0324437476997446
16,25,100,1.0352840327996091,-2755.3391828968997,-2755.3345892198,-2754.3038988641,0.004593677100046989,0.0011471570999219693,-2755.3357363769,1.0318375127999388
45,30,100,1.03494972199951,-2755.3341132778996,-2755.3296106259,-2754.2991635559,0.0045026519999282755,0.0006551129999934346,-2755.3302657389,1.0311021829998026
195,40,100,1.0336261024999658,-2755.3203976486,-2755.3165308982,-2754.2867715461,0.0038667503999931796,0.00024289670000143815,-2755.3167737949,1.030002248799974
250,50,100,1.0322158097001193,-2755.3023303517,-2755.298767009,-2754.270114542,0.0035633427000902884,0.0,-2755.298767009,1.028652467000029
118,60,100,1.0318262283999502,-2755.2802292796,-2755.2752353122,-2754.2484030512,0.004993967399968824,5.2615599997807294e-05,-2755.2752879278,1.0268848765999792
292,0,110,1.0337334912001097,-2755.3484805022,-2755.3453566764,-2754.314747011,0.0031238258000030328,0.0005239733000053093,-2755.3458806497,1.0311336387003394
277,5,110,1.0341721156005406,-2755.3485249202004,-2755.3450036436,-2754.3143528046,0.0035212766001677664,0.0013539777999085345,-2755.3463576214,1.032004816800054
176,10,110,1.034569313600059,-2755.3476729842,-2755.3437380388,-2754.3131036706,0.00393494540003303,0.002374899399910646,-2755.3461129382,1.0330092675999367
353,15,110,1.0347937741998976,-2755.3457741525,-2755.3415510914,-2754.3109803783,0.004223061099992265,0.003372958399950221,-2755.3449240498003,1.0339436715003103
87,20,110,1.0348456922997684,-2755.342819949,-2755.3384419159,-2754.3079742567,0.004378033100010725,0.004169331800085274,-2755.3426112477,1.034636990999843
25,25,110,1.0347155662998375,-2755.3387875812,-2755.334403065,-2754.3040720149,0.004384516199934296,0.004615961900071852,-2755.3390190269,1.034947011999975
49,30,110,1.0344063778002237,-2755.3336345478,-2755.3293952437,-2754.29922817,0.004239304099883157,0.00474379429988403,-2755.334139038,1.0349108680002246
182,40,110,1.0331172124001569,-2755.3196756108,-2755.3163119496,-2754.2865583984,0.003363661199955459,0.004620591699904253,-2755.3209325413,1.0343741429001057
248,50,110,1.0317148812000596,-2755.3012175653002,-2755.298679175,-2754.2695026841,0.0025383903000602004,0.004399839099960445,-2755.3030790141,1.0335763299999599
117,60,110,1.031316278000304,-2755.2784880824,-2755.2754938569,-2754.2471718044,0.0029942255000605655,0.004223061099992265,-2755.2797169180003,1.032545113600463
309,0,120,1.0325938931996461,-2755.3481221423,-2755.3453231502,-2754.3155282491,0.002798992099997122,0.00418425680004475,-2755.3495074069997,1.0339791578994664
275,5,120,1.0330550825005957,-2755.3481350088005,-2755.3448559352,-2754.3150799263,0.00327907360019708,0.004284624299998541,-2755.3491405595,1.0340606332001698
161,10,120,1.0334753024999372,-2755.3472429681,-2755.343452688,-2754.3137676656,0.003790280100020027,0.004466599099941959,-2755.3479192871,1.0341516214998592
356,15,120,1.0337249040003371,-2755.3452947838005,-2755.341110527,-2754.3115698798,0.00418425680004475,0.004664978099981454,-2755.3457755051004,1.0342056253002738
107,20,120,1.0338057209000908,-2755.3422819812,-2755.3378343552,-2754.3084762603,0.004447626000001037,0.004778967999982342,-2755.3426133231997,1.0341370628998448
26,25,120,1.0337068231997364,-2755.3381797603997,-2755.3336209032,-2754.3044729372,0.004558857199981503,0.00478094729987788,-2755.3384018505,1.0339289132998601
54,30,120,1.03342700839994,-2755.3329396004,-2755.3284307577,-2754.299512592,0.004508842700033711,0.004600827699960064,-2755.3330315854,1.0335189933998663
213,40,120,1.0321821823999926,-2755.318728423,-2755.3149668311,-2754.2865462406,0.003761591900001804,0.004249660200002836,-2755.3192164913,1.0326702506999936
221,50,120,1.030804815999545,-2755.2998929064997,-2755.2969873986,-2754.2690880905,0.002905507900095472,0.0037436293998780457,-2755.300731028,1.0316429374997824
109,60,120,1.0304319396996107,-2755.2766202911,-2755.2735855573,-2754.2461883514,0.003034733799950118,0.003142167799978779,-2755.2767277251,1.0305393736998667
318,0,130,1.0313117192999925,-2755.3476275999,-2755.3452725698,-2754.3163158806,0.002355030100034128,0.0025335491000078036,-2755.3478061189,1.0314902382997388
259,5,130,1.031786631000159,-2755.3476179378004,-2755.344616277,-2754.3158313068,0.003001660800009631,0.002023422000092978,-2755.346639699,1.030808392200015
169,10,130,1.0322274477994142,-2755.3466970052996,-2755.3430026188,-2754.3144695575,0.003694386500001201,0.001727570800085232,-2755.3447301896,1.0302606320997256
350,15,130,1.032501565200164,-2755.3447103457,-2755.3404257214,-2754.3122087805,0.004284624299998541,0.0016876706999937596,-2755.3421133921,1.0299046116001591
74,20,130,1.032609256599244,-2755.3416478910995,-2755.3368899841,-2754.3090386345,0.0047579069998846535,0.0018977535000885837,-2755.3387877376,1.0297491030996753
13,25,130,1.0325377780000053,-2755.337482281,-2755.3323932888,-2754.304944503,0.005088992199944187,0.0022081350000462407,-2755.3346014238004,1.0296569208003348
64,30,130,1.0322840192998228,-2755.3321612408,-2755.3268954724,-2754.2998772215,0.005265768400022353,0.002528789600091841,-2755.329424262,1.0295470404998923
212,40,130,1.0310895633001564,-2755.3177306461002,-2755.3127531184,-2754.2866410828,0.004977527700020801,0.0027622611999049695,-2755.3155153795997,1.0288742967995859
